RF amplitude,Power meter readings (mW)
0.0,0.0
82.0,0.0
164.0,0.02
246.0,0.04
328.0,0.07
410.0,0.11
492.0,0.16
574.0,0.22
655.0,0.29
737.0,0.36
819.0,0.45
901.0,0.54
983.0,0.64
1065.0,0.75
1147.0,0.88
1229.0,1.01
1311.0,1.15
1393.0,1.29
1475.0,1.45
1557.0,1.61
1639.0,1.77
1721.0,1.95
1802.0,2.13
1884.0,2.32
1966.0,2.51
2048.0,2.7
2130.0,2.92
2212.0,3.12
2294.0,3.33
2376.0,3.54
2458.0,3.77
2540.0,4.01
2622.0,4.25
2704.0,4.51
2786.0,4.77
2868.0,5.03
2949.0,5.28
3031.0,5.55
3113.0,5.84
3195.0,6.08
3277.0,6.37
3359.0,6.67
3441.0,6.95
3523.0,7.13
3605.0,7.42
3687.0,7.71
3769.0,8.06
3851.0,8.37
3933.0,8.69
4015.0,8.96
4096.0,9.23
4178.0,9.5
4260.0,9.8
4342.0,10.02
4424.0,10.39
4506.0,10.58
4588.0,10.86
4670.0,11.16
4752.0,11.45
4834.0,11.76
4916.0,12.03
4998.0,12.31
5080.0,12.7
5162.0,12.98
5244.0,13.26
5325.0,13.48
5407.0,13.74
5489.0,14.02
5571.0,14.17
5653.0,14.51
5735.0,14.81
5817.0,15.12
5899.0,15.27
5981.0,15.51
6063.0,15.73
6145.0,15.94
6227.0,16.14
6309.0,16.29
6391.0,16.48
6472.0,16.62
6554.0,16.92
6636.0,17.01
6718.0,17.26
6800.0,17.21
6882.0,17.41
6964.0,17.83
7046.0,17.97
7128.0,18.13
7210.0,18.25
7292.0,18.22
7374.0,18.43
7456.0,18.59
7538.0,18.63
7619.0,18.72
7701.0,18.79
7783.0,18.81
7865.0,18.92
7947.0,19.07
8029.0,19.02
8111.0,19.13
8193.0,19.02
