V,Power meter readings (mW)
0.0,0.11
0.007,0.08
0.013,0.06
0.02,0.04
0.027,0.02
0.033,0.01
0.04,0.01
0.047,0.0
0.053,0.0
0.06,0.01
0.067,0.01
0.073,0.02
0.08,0.04
0.087,0.06
0.093,0.08
0.1,0.11
0.107,0.14
0.113,0.17
0.12,0.21
0.127,0.25
0.133,0.3
0.14,0.35
0.147,0.4
0.153,0.45
0.16,0.51
0.167,0.58
0.173,0.64
0.18,0.71
0.187,0.78
0.193,0.85
0.2,0.93
0.207,1.02
0.213,1.11
0.22,1.2
0.227,1.3
0.233,1.41
0.24,1.51
0.247,1.62
0.253,1.72
0.26,1.82
0.267,1.91
0.273,2.02
0.28,2.15
0.287,2.27
0.293,2.38
0.3,2.51
0.307,2.63
0.313,2.76
0.32,2.9
0.327,3.03
0.333,3.15
0.34,3.29
0.347,3.42
0.353,3.56
0.36,3.7
0.367,3.86
0.373,4.02
0.38,4.15
0.387,4.29
0.393,4.45
0.4,4.6
0.407,4.71
0.413,4.85
0.42,5.0
0.427,5.13
0.433,5.31
0.44,5.48
0.447,5.63
0.453,5.78
0.46,5.94
0.467,6.13
0.473,6.3
0.48,6.48
0.487,6.62
0.493,6.78
0.5,6.95
0.507,7.09
0.513,7.21
0.52,7.34
0.527,7.46
0.533,7.62
0.54,7.72
0.547,7.82
0.553,7.98
0.56,8.12
0.567,8.28
0.573,8.44
0.58,8.59
0.587,8.76
0.593,8.92
0.6,9.12
0.607,9.28
0.613,9.42
0.62,9.54
0.627,9.66
0.633,9.76
0.64,9.87
0.647,9.97
0.653,10.09
0.66,10.22
0.667,10.28
0.673,10.37
0.68,10.55
0.687,10.64
0.693,10.68
0.7,10.79
0.707,10.96
0.713,11.06
0.72,11.18
0.727,11.31
0.733,11.43
0.74,11.46
0.747,11.51
0.753,11.56
0.76,11.65
0.767,11.63
0.773,11.67
0.78,11.74
0.787,11.84
0.793,11.96
0.8,12.08
0.807,12.1
0.813,12.17
0.82,12.2
0.827,12.12
0.833,12.13
0.84,12.27
0.847,12.32
0.853,12.4
0.86,12.42
0.867,12.46
0.873,12.45
0.88,12.47
0.887,12.39
0.893,12.37
0.9,12.33
0.907,12.31
0.913,12.41
0.92,12.43
0.927,12.33
0.933,12.29
0.94,12.21
0.947,12.23
0.953,12.2
0.96,12.24
0.967,12.21
0.973,12.19
0.98,12.03
0.987,11.95
0.993,11.86
